EmpID,FirstName,LastName,StartDate,ExitDate,Supervisor,ADEmail,EmployeeType,TerminationType,TerminationDescription,DOB,SSN,Address,City,State,JobTitle,Salary,Gender,Race,MaritalStatus,PerformanceScore,CurrentEmployeeRating
3460,Alisa,James,19-Feb-20,,Dennis Henderson,alisa.james@bestremotejob.com,Full-Time,Unk,,3/9/1941,773-40-9255,53432 Jose Freeway Suite 977,New Davidside,IN,IT Support Specialist,79825,Male,Asian,Married,Fully Meets,3
1155,Allyson,Owen,17-Nov-18,12-Mar-20,Kimberly Marshall,allyson.owen@bestremotejob.com,Contract,Resignation,Provide machine statement now.,1/7/1942,201-10-1960,700 Quinn Green Suite 066,Haileyville,MS,Product Specialist,129867,Female,Other,Married,Fully Meets,3
3913,Henry,Zimmerman,14-Jan-20,8-Jun-22,Rodney Hart,henry.zimmerman@bestremotejob.com,Full-Time,Resignation,Management so author training floor stage could.,2/6/1942,137-52-9608,96444 Ingram Ford,East Michellechester,IN,Project Manager,134537,Female,White,Married,Fully Meets,3
1562,Kailee,Harmon,29-Sep-20,19-Oct-21,Thomas Garner,kailee.harmon@bestremotejob.com,Full-Time,Involuntary,Firm music future may most.,4/1/1942,654-40-1229,4222 Cooper Ports,West Marissafort,LA,Sales Representative,50943,Female,Black,Single,Fully Meets,3
1403,Lily,DiNocco,8-Jul-21,,Austin Dixon,lily.dinocco@bestremotejob.com,Full-Time,Unk,,9/8/1942,808-97-2356,8136 Theresa Avenue Suite 172,East Natalie,IN,Account Executive,133284,Female,White,Widowed,Exceeds,3
1735,Rachael,Baczenski,8-Jan-21,14-Jan-23,Cody Scott,rachael.baczenski@bestremotejob.com,Full-Time,Resignation,Along senior personal nature help crime.,11/8/1942,786-29-4509,83202 Ingram Fields,Campbelltown,ME,Senior Engineer,172195,Female,White,Divorced,Fully Meets,3
2300,Wesley,Nguyen,26-Sep-20,,Donna Pope,wesley.nguyen@bestremotejob.com,Full-Time,Unk,,1/1/1943,937-23-1824,58649 Antonio Groves,Seanville,CT,Web Designer,102739,Female,Black,Single,Fully Meets,5
3729,Heaven,Walls,8-Dec-22,4-Jul-23,Natasha Spears,heaven.walls@bestremotejob.com,Contract,Voluntary,Until reason late off training situation.,1/1/1943,250-54-1249,9081 Quinn Turnpike Suite 375,Port Chad,MO,IT Support Specialist,66788,Male,Other,Divorced,Fully Meets,3
3999,Reuben,Davila,17-Apr-19,17-Aug-21,John Henderson,reuben.davila@bestremotejob.com,Full-Time,Involuntary,Ball when check interview score manager.,1/2/1943,651-12-0068,581 Thomas Club,Millerport,WA,Sales Representative,47467,Male,Asian,Single,Exceeds,3
1867,Mauricio,Buchanan,9-Jan-21,17-Aug-21,Natalie Roman,mauricio.buchanan@bestremotejob.com,Full-Time,Involuntary,Apply must visit street.,8/3/1943,913-70-9614,01914 Sweeney Gateway Suite 775,North Stephen,WA,Senior Engineer,171194,Male,Asian,Divorced,Needs Improvement,3
2525,Larry,Novak,15-Sep-21,2-Jul-23,Zachary Higgins,larry.novak@bestremotejob.com,Full-Time,Retirement,Executive might picture speech light.,10/3/1943,734-12-3701,469 Terry Road Apt. 529,Port Tracyfort,ME,Human Resources Manager,125229,Male,Other,Married,Fully Meets,2
3766,Elisa,Henry,2-Feb-19,3-Feb-23,Taylor Morris,elisa.henry@bestremotejob.com,Part-Time,Resignation,Common no sure wonder up although.,10/3/1943,900-88-6796,8501 Darren Plains Suite 394,North Kaitlinstad,HI,Copywriter,108456,Female,Black,Widowed,Fully Meets,3
2462,Lainey,York,9-Jan-20,27-Jan-21,Miranda Webb,lainey.york@bestremotejob.com,Part-Time,Voluntary,Claim serve PM camera else.,1/6/1944,959-87-8118,386 Hoover Lodge Apt. 226,New Christopher,ID,IT Support Specialist,67214,Female,White,Married,Fully Meets,2
3756,Junior,Bridges,24-May-21,,Melissa Hernandez,junior.bridges@bestremotejob.com,Full-Time,Unk,,1/6/1944,142-05-3471,68795 Robert Crossroad Apt. 034,Port Erik,CO,Sales Representative,63508,Female,Hispanic,Married,Fully Meets,3
2005,Laci,Baird,21-Dec-18,16-Nov-22,Glenn Rollins,laci.baird@bestremotejob.com,Part-Time,Retirement,Point himself deep audience upon door too.,5/5/1944,586-60-1607,7385 Potter Knolls,Jesseview,ND,Senior Engineer,181962,Female,Asian,Widowed,Fully Meets,3
2951,Aleena,David,26-May-19,,Louis Griffith,aleena.david@bestremotejob.com,Full-Time,Unk,,7/10/1944,191-72-3331,21056 Benjamin Estates Apt. 672,Byrdborough,HI,Computer Systems Analyst,160875,Female,Black,Widowed,Fully Meets,2
3919,Yaritza,Sherman,6-Jul-23,,Debra Oneal,yaritza.sherman@bestremotejob.com,Contract,Unk,,7/10/1944,482-25-7464,2015 Jason Ramp,Duffyville,WA,Senior Engineer,201343,Female,Asian,Divorced,Fully Meets,3
1380,Solomon,Paul,6-Sep-20,,Mr. Richard Hicks MD,solomon.paul@bestremotejob.com,Part-Time,Unk,,10/2/1944,710-01-7748,156 Brandy Mountain,Port Andrewmouth,NJ,IT Support Specialist,69205,Male,Hispanic,Single,Exceeds,3
3108,Oswaldo,Hanson,22-Oct-21,12-May-22,Julie Hernandez,oswaldo.hanson@bestremotejob.com,Full-Time,Retirement,Perform leader research again term.,10/3/1944,692-53-0059,7381 Fowler Summit Apt. 286,Jordanfurt,MD,IT Support Specialist,61980,Female,Hispanic,Married,Fully Meets,2
2049,Corinne,Navarro,6-Oct-20,,Thomas Richard,corinne.navarro@bestremotejob.com,Contract,Unk,,3/10/1945,140-94-5553,7282 John Shore,Port Daltonfurt,VI,Logistics Manager,149497,Female,Asian,Widowed,Fully Meets,3
3632,Ryan,Oconnell,24-Sep-22,24-Oct-22,Bridget Jones,ryan.oconnell@bestremotejob.com,Contract,Involuntary,Realize work series fact weight contain.,3/10/1945,650-27-3613,5215 Barajas Junction Apt. 631,Jacquelinestad,CT,Quality Engineer,122878,Male,Asian,Married,Fully Meets,3
3997,Carmen,Frost,16-Jul-19,,Jordan George,carmen.frost@bestremotejob.com,Contract,Unk,,2/12/1946,315-15-8118,9675 Leonard Burgs,Lake Daniel,PW,Project Manager,135464,Male,Black,Single,Needs Improvement,3
3098,Rayne,Chambers,18-Aug-21,,Melvin Dean,rayne.chambers@bestremotejob.com,Full-Time,Unk,,8/12/1946,579-00-8020,3142 Warren Ways Suite 831,Yatesside,LA,Project Manager,137729,Male,Black,Widowed,Fully Meets,4
3995,Cortez,Murillo,15-Jul-19,1-Jun-21,Stuart White,cortez.murillo@bestremotejob.com,Full-Time,Resignation,Or break sea say owner. Often guy local.,8/12/1946,716-14-1083,882 Walters Pike,Lake Blake,DC,Customer Service Representative,86851,Female,Black,Widowed,Exceeds,3
3020,Lincoln,Brady,25-Jul-23,,Paula Perez,lincoln.brady@bestremotejob.com,Part-Time,Unk,,11/11/1946,405-62-1818,440 Barajas Cliffs Suite 741,East Robertburgh,AZ,Web Designer,81817,Male,Black,Widowed,PIP,2
3954,Denisse,Hayes,18-Oct-21,,Gerald Carey,denisse.hayes@bestremotejob.com,Full-Time,Unk,,11/11/1946,200-91-0348,57365 Carmen Key Suite 417,Port Tyronestad,NC,Account Executive,151081,Female,Hispanic,Married,Fully Meets,3
2415,Raelynn,Lara,8-Feb-21,23-Aug-22,Steven Drake,raelynn.lara@bestremotejob.com,Full-Time,Involuntary,Strategy kind particular unit need.,11/12/1946,369-92-1012,702 Barnes Square,South Jeffrey,CT,Project Manager,134405,Female,White,Married,Fully Meets,4
3737,Arielle,Escobar,19-Nov-18,,John Hill,arielle.escobar@bestremotejob.com,Part-Time,Unk,,11/12/1946,993-87-3887,5552 Stacey Stream Apt. 324,North Mariemouth,DC,Social Media Manager,83616,Male,Hispanic,Divorced,Fully Meets,5
2787,Caden,Taylor,22-Apr-21,,Jonathan Williams,caden.taylor@bestremotejob.com,Contract,Unk,,12/1/1946,847-32-5027,9587 Catherine Center Apt. 846,South Kaylaberg,PA,IT Support Specialist,67155,Female,White,Divorced,Fully Meets,4
3836,Marcos,Petty,13-Aug-21,,Heather Farmer,marcos.petty@bestremotejob.com,Contract,Unk,,12/1/1946,907-59-5904,32445 Cynthia Parkways,Warrenville,PW,Quality Control Specialist,133551,Male,Black,Single,Fully Meets,3
3960,Andreas,Torres,11-Aug-18,,Guy Hansen,andreas.torres@bestremotejob.com,Part-Time,Unk,,5/4/1947,101-82-5655,9336 John Square,Josephshire,RI,Strategic Sourcing Specialist,132930,Male,White,Married,Fully Meets,3
3296,Isis,Brooks,7-Jan-19,8-Oct-19,Michael Palmer,isis.brooks@bestremotejob.com,Part-Time,Voluntary,Maybe despite performance rather evidence.,5/5/1947,948-37-7098,46802 Tran Row Suite 738,North Justinside,OR,Computer Systems Analyst,144427,Male,White,Married,PIP,2
1056,Desmond,Anderson,18-Nov-21,,Kari Bishop,desmond.anderson@bestremotejob.com,Contract,Unk,,5/7/1947,384-19-2842,95961 Taylor Circles Apt. 169,East Ashleyborough,IN,Computer Systems Analyst,137375,Male,Hispanic,Widowed,Fully Meets,3
1353,Noe,Mann,15-Sep-20,6-Jan-22,Felicia Bailey,noe.mann@bestremotejob.com,Part-Time,Involuntary,Will message south game.,7/1/1947,365-11-5343,331 James Springs,Gibbsburgh,MH,Sales Representative,50875,Male,White,Single,Fully Meets,3
2262,Shane,Harper,17-Mar-19,,Andrea Clark,shane.harper@bestremotejob.com,Contract,Unk,,8/7/1947,887-25-0950,45106 Lopez Walk,Kennethberg,MP,Web Designer,100370,Female,Other,Divorced,Fully Meets,2
3719,Cannon,Hester,22-Jul-22,,David Ward,cannon.hester@bestremotejob.com,Contract,Unk,,8/7/1947,254-98-6594,45630 Steven Trail Suite 455,Port Catherinebury,LA,Sales Representative,49819,Female,Hispanic,Divorced,Fully Meets,3
3452,Jaydon,Blackburn,8-Nov-22,,Debbie Crosby,jaydon.blackburn@bestremotejob.com,Part-Time,Unk,,9/3/1947,351-92-9852,379 Hughes Ville,Christopherburgh,MN,Legal Assistant,65807,Male,Black,Divorced,Fully Meets,2
1668,Taniyah,Mcmillan,10-Jul-23,,Eric Mcclain,taniyah.mcmillan@bestremotejob.com,Part-Time,Unk,,1/3/1948,764-27-7611,908 Vasquez Knolls,Kathleenview,AK,IT Support Specialist,82269,Male,Black,Single,Fully Meets,3
1194,Gabrielle,Hardy,14-Jan-19,6-Aug-21,Christopher Levy,gabrielle.hardy@bestremotejob.com,Full-Time,Resignation,Tonight answer benefit second commercial law.,6/4/1948,671-94-2235,527 Jamie Viaduct,Christopherberg,CT,IT Support Specialist,56031,Male,Asian,Widowed,Fully Meets,3
